produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg,data_inicial,data_final
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,10-03-2025 - 14-03-2025,2,PREÇO RECEBIDO P/ PR,25.0,2025-03-10,2025-03-14
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,17-03-2025 - 21-03-2025,3,PREÇO RECEBIDO P/ PR,26.0,2025-03-17,2025-03-21
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,3,24-03-2025 - 28-03-2025,4,PREÇO RECEBIDO P/ PR,26.0,2025-03-24,2025-03-28
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,07-04-2025 - 11-04-2025,2,PREÇO RECEBIDO P/ PR,28.0,2025-04-07,2025-04-11
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,31-03-2025 - 04-04-2025,1,PREÇO RECEBIDO P/ PR,28.0,2025-03-31,2025-04-04
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,14-04-2025 - 18-04-2025,3,PREÇO RECEBIDO P/ PR,28.0,2025-04-14,2025-04-18
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,21-04-2025 - 25-04-2025,4,PREÇO RECEBIDO P/ PR,28.0,2025-04-21,2025-04-25
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,28-04-2025 - 02-05-2025,5,PREÇO RECEBIDO P/ PR,29.0,2025-04-28,2025-05-02
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,28-04-2025 - 02-05-2025,5,PREÇO RECEBIDO P/ PR,28.0,2025-04-28,2025-05-02
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,21-04-2025 - 25-04-2025,4,PREÇO RECEBIDO P/ PR,26.0,2025-04-21,2025-04-25
